tournament_id,match_id,created_at,map_name,duration,winner,telemetry
kr-pkl19,769b31c7-0b29-41df-92f7-b5a88dd4cc30,2019-06-01 12:37:25,Erangel,1723,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/01/13/07/3a74e7b3-846e-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,cc1bace6-fd5f-4e8c-a9a2-5e12176b7916,2019-05-22 12:38:40,Erangel,1795,DE,http://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/05/31/19/12/09e50aca-83d8-11e9-9899-0242ac120004-telemetry.json
kr-pkl19,424ac1ce-1ad9-40d8-9268-2b73095b0836,2019-09-25 09:09:19,Miramar,1702,VSG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/09/25/09/38/4c35b328-df78-11e9-ad7d-0a586469f3a1-telemetry.json
kr-pkl19,658785a6-57e0-4cf2-9645-24dd172764e3,2019-09-23 10:55:21,Erangel,1675,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/09/23/11/24/b5bc67d3-ddf4-11e9-ad7d-0a586469f3a1-telemetry.json
kr-pkl19,b3d4b812-c3ef-4c82-b1d6-39f579d44a54,2019-06-05 11:01:10,Miramar,1797,EM,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/05/11/32/978e2fed-8785-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,817b3175-278e-40a3-a16f-8373b16d9c6e,2019-10-09 10:02:22,Sanhok,1330,MSQ,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/09/10/25/283b5fde-ea7f-11e9-8cd2-0a586469f075-telemetry.json
kr-pkl19,13b80189-f7fd-429c-ae5f-605c3ae0ff68,2019-09-23 11:47:10,Erangel,1722,QDR,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/09/23/12/17/0f50b4a9-ddfc-11e9-ad7d-0a586469f3a1-telemetry.json
kr-pkl19,44a7d7aa-9163-47b3-8021-d6da971a8207,2019-09-21 11:40:30,Miramar,1719,APK,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/09/21/12/10/cad49d9b-dc68-11e9-aec9-0a586469f3a1-telemetry.json
kr-pkl19,39ac943c-ba6e-437e-9b94-d193ba55b460,2019-03-16 06:09:16,Erangel,1905,AFA,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/03/16/06/42/a55f086e-47b6-11e9-a3cd-0a586461c173-telemetry.json
kr-pkl19,bfc730bb-1e98-4226-b70f-0b8bbcbb8bcb,2019-06-24 10:09:58,Miramar,1786,GEN,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/06/24/10/41/93d8ee99-966c-11e9-b090-0a5864677876-telemetry.json
kr-pkl19,354d4f2f-8ace-4158-98fe-dc0f86a01d5e,2019-08-28 09:10:55,Erangel,1744,MCL,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/08/28/09/41/f9f1a212-c977-11e9-b26c-0a58646790d6-telemetry.json
kr-pkl19,9a6d9909-343a-49e3-a0d8-3f84c51a3aa5,2019-06-29 13:05:56,Erangel,1767,ENA,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/06/29/13/36/eb1ecada-9a72-11e9-a65b-0a5864679b8f-telemetry.json
kr-pkl19,732e0e5f-ca2d-4464-9a6a-2993e0507f0f,2019-06-01 11:02:51,Miramar,1852,GR,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/01/11/35/52609aee-8461-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,bb25cb2f-824e-4434-a11d-08243d4bf0f4,2019-05-29 11:49:48,Erangel,1807,APK,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/05/29/12/21/47244631-820c-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,905550a8-4d37-47f9-883e-e5052f87c962,2019-02-11 12:44:09,Erangel,1812,AFF,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/02/11/13/15/1ffd0977-2dff-11e9-95d6-0a586460b62e-telemetry.json
kr-pkl19,e6ad3ecb-814e-40a0-a885-c819a683db8a,2019-06-26 11:54:55,Erangel,1850,DD,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/06/26/12/27/c53f24d4-980d-11e9-a65b-0a5864679b8f-telemetry.json
kr-pkl19,3c68cc4c-79aa-4f20-8045-6d8feab010b1,2019-06-08 11:06:57,Miramar,1895,QDR,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/08/11/40/27cc916b-89e2-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,da47009e-4f42-4976-8a7c-241c4b11c3fc,2019-10-05 10:09:19,Sanhok,1385,GEN,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/05/10/33/9893f4e8-e75b-11e9-8e5f-0a586469f0ba-telemetry.json
kr-pkl19,95500179-9937-47ea-8bc0-e749d424ab48,2019-10-02 10:18:06,Sanhok,1384,GR,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/02/10/42/52cebe22-e501-11e9-8e5f-0a586469f0ba-telemetry.json
kr-pkl19,14d22e16-38a7-418b-88bf-810cdb03886b,2019-09-07 11:58:30,Erangel,1820,QDR,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/09/07/12/30/3866c38c-d16b-11e9-853f-0a586469f019-telemetry.json
kr-pkl19,109b7e90-5abd-4de4-a0ae-5db61b8c35f5,2019-02-20 10:55:14,Erangel,1848,VSG,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/02/20/11/27/7c062719-3502-11e9-8ca1-0a586461bb07-telemetry.json
kr-pkl19,ff807411-be37-473f-859b-eb2994b04d12,2019-02-18 12:33:04,Erangel,1691,SKT,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/02/18/13/02/77c753e7-337d-11e9-a576-0a5864615e10-telemetry.json
kr-pkl19,5c936d24-bd76-44a0-9dbe-a8f9e84e68b3,2019-10-12 11:57:58,Erangel,1793,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/12/12/29/e2d65de2-eceb-11e9-8cd2-0a586469f075-telemetry.json
kr-pkl19,e5e660bb-cd3a-494a-86a7-1ab876e38c2b,2019-06-12 12:42:31,Erangel,1798,AFF,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/12/13/13/f0f122fe-8d13-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,13b7c130-d430-44f0-a8a1-35cbcefdc7cf,2019-09-30 09:14:42,Erangel,1762,MCL,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/09/30/09/45/048c0bb5-e367-11e9-a54e-0a586469f439-telemetry.json
kr-pkl19,f86e44fb-aa15-4710-a837-9f7c15c4aace,2019-06-01 11:51:39,Erangel,1695,ENF,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/01/12/21/c5f04b8a-8467-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,cca7b9f6-b14b-47c8-991b-e8852c5a1173,2019-03-23 05:18:56,Miramar,1651,KSR,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/03/23/05/47/2ec6860f-4d2f-11e9-af19-0a5864621161-telemetry.json
kr-pkl19,ab4c9d44-9594-49a3-ba23-4cd99292e9c4,2019-10-12 09:24:36,Miramar,1788,GB,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/12/09/55/732842a2-ecd6-11e9-8cd2-0a586469f075-telemetry.json
kr-pkl19,894cd55f-2f9e-4e87-a2d4-6eba0b7e2ff0,2019-09-30 11:47:31,Miramar,1793,ENF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/09/30/12/18/6fa4a49b-e37c-11e9-a54e-0a586469f439-telemetry.json
kr-pkl19,eceb294c-e680-4c32-9deb-81c7919f5896,2019-06-19 11:02:21,Miramar,1795,DTN,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/19/11/33/1a6dad1a-9286-11e9-b13e-0a586467901d-telemetry.json
kr-pkl19,b931b09d-7753-4c36-95fe-1765e688b85c,2019-06-10 10:11:03,Miramar,1807,T1,https://telemetry-cdn.pubg.com/bluehole-pubg/pc-tournament/2019/06/10/10/42/74103c1f-8b6c-11e9-910c-0a5864666c0b-telemetry.json
kr-pkl19,4df9ceee-19cc-486f-bb29-91d054d7f2fc,2019-05-20 12:04:20,Erangel,1786,GB,http://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/05/31/19/09/8c14b447-83d7-11e9-9899-0242ac120004-telemetry.json
