tournament_name,date,tournament_id,matches 수,players 수
PUBG CONTINENTAL SERIES 1 ASIA,20200600,as-pcs1as,20,67
PUBG CONTINENTAL SERIES 1 ASIA KR,20200500,as-pcs1kr,56,205
PUBG CONTINENTAL SERIES 2 ASIA,20200800,as-pcs2as,24,66
PUBG CONTINENTAL SERIES 2 ASIA KR,20200700,as-pcs2kr,40,130
PUBG CONTINENTAL SERIES 3 ASIA,20201100,as-pcs3as,24,66
PUBG CONTINENTAL SERIES 3 ASIA KR,20200900,as-pcs3kr,40,133
PUBG CONTINENTAL SERIES ASIA CHARITY SHOWDOWN,20200500,as-pcscs,20,66
PUBG NATIONS CUP TEST,20190700,as-pnctest,8,64
BATTLEGROUNDS SMASH CUP 2020,20200000,kr-bsc20,46,233
BATTLEGROUNDS WEEKLY SERIES,20200300,kr-bws20,25,99
PUBG Global Championship 2019 - Korean Qualifier,20191000,kr-pgckq,6,64
PUBG KOREA LEAGUE 19,20190000,kr-pkl19,216,230
PUBG GLOBAL CHAMPIONSHIP GRAND FINAL ,20191124,na-pgcgf,12,64
PUBG GLOBAL CHAMPIONSHIP 1,20191109,na-pgcgr1,6,64
PUBG GLOBAL CHAMPIONSHIP 2,20191110,na-pgcgr2,6,64
PUBG GLOBAL CHAMPIONSHIP 3,20191111,na-pgcgr3,6,64
PUBG GLOBAL CHAMPIONSHIP SEMI FINAL ,20191116,na-pgcsf,18,64
